topology,network_realization,graph_seed,contact_probability,duration_years,ignitions,agent_replicates,ignition_probability,median_final_repertoire,median_first_ignition_year_if_any,density,clustering,mean_shortest_path,degree_cv,modularity
Scale-free,8,20337916,0.12,1500,3,8,0.375,15.5765625,4350.0,0.2333333333333333,0.3657242063492063,2.0166666666666666,0.5532833351724882,0.2901785714285715
Scale-free,9,20337917,0.12,1500,4,8,0.5,20.06875,3675.0,0.2333333333333333,0.3095238095238095,2.025,0.5890150893739515,0.2468112244897959
Scale-free,10,20337918,0.12,1500,6,8,0.75,26.690625,3912.5,0.2333333333333333,0.3135551948051948,2.0083333333333333,0.6776309271789385,0.2225765306122449
Scale-free,11,20337919,0.12,1500,5,8,0.625,21.91875,3950.0,0.2333333333333333,0.3922123015873016,2.0,0.6308400618805605,0.2353316326530612
Scale-free,12,20337920,0.12,1500,4,8,0.5,23.559375,4025.0,0.2333333333333333,0.1423611111111111,2.066666666666667,0.5050762722761054,0.2174744897959183
Scale-free,13,20337921,0.12,1500,5,8,0.625,25.31875,3700.0,0.2333333333333333,0.3368055555555556,2.025,0.6060915267313264,0.2506377551020408
Scale-free,14,20337922,0.12,1500,5,8,0.625,26.2796875,3862.5,0.2333333333333333,0.4711850649350649,1.975,0.67005939426049,0.2621173469387755
Scale-free,15,20337923,0.12,1500,7,8,0.875,20.5125,4175.0,0.2333333333333333,0.2715773809523809,2.05,0.5624291338579865,0.2723214285714285
Scale-free,16,20337924,0.12,1500,6,8,0.75,27.7390625,3700.0,0.2333333333333333,0.5104166666666666,1.9333333333333331,0.7559289460184545,0.2385204081632653
Scale-free,17,20337925,0.12,1500,6,8,0.75,23.5,4050.0,0.2333333333333333,0.2516369047619047,2.05,0.5248906591678238,0.28125
Scale-free,18,20337926,0.12,1500,8,8,1.0,27.7859375,3712.5,0.2333333333333333,0.1782738095238095,2.075,0.4738035414793428,0.2678571428571428
Scale-free,19,20337927,0.12,1500,4,8,0.5,14.4984375,3975.0,0.2333333333333333,0.5290178571428571,1.9583333333333333,0.6925256939166184,0.2110969387755102
Scale-free,0,20270094,0.18,1500,8,8,1.0,27.740625,3750.0,0.2333333333333333,0.3221230158730158,1.9916666666666667,0.614451804788759,0.2436224489795918
Scale-free,1,20270095,0.18,1500,5,8,0.625,24.79375,3575.0,0.2333333333333333,0.3975694444444444,2.05,0.6388765649999399,0.242984693877551
Scale-free,2,20270096,0.18,1500,7,8,0.875,27.79375,3537.5,0.2333333333333333,0.2491071428571428,2.058333333333333,0.4517539514526256,0.3042091836734694
Scale-free,3,20270097,0.18,1500,5,8,0.625,27.74375,4050.0,0.2333333333333333,0.2559523809523809,2.075,0.4403152859263554,0.2914540816326531
Scale-free,4,20270098,0.18,1500,6,8,0.75,27.61875,3700.0,0.2333333333333333,0.1811011904761904,2.091666666666667,0.5050762722761054,0.2901785714285714
